date,symbol,root,settle
2015-01-15,HE.V.0,HE,75.8
2015-01-15,HG.V.0,HG,2.5625
2015-01-15,LE.V.0,LE,154.775
2015-01-15,PL.V.0,PL,1260.4
2015-01-15,RB.V.0,RB,1.2985
2015-01-15,SI.V.0,SI,17.03
2015-01-15,ZC.V.0,ZC,380.0
2015-01-15,ZL.V.0,ZL,33.04
2015-01-15,ZM.V.0,ZM,326.8
2015-01-15,ZR.V.0,ZR,11.345
2015-01-15,ZS.V.0,ZS,991.75
2015-01-16,CL.V.0,CL,48.48
2015-01-16,GC.V.0,GC,1280.3
2015-01-16,GF.V.0,GF,207.05
2015-01-16,HE.V.0,HE,74.3
2015-01-16,HG.V.0,HG,2.6325
2015-01-16,LE.V.0,LE,154.85
2015-01-16,PL.V.0,PL,1267.9
2015-01-16,RB.V.0,RB,1.3636
2015-01-16,SI.V.0,SI,17.78
2015-01-16,ZC.V.0,ZC,386.25
2015-01-16,ZL.V.0,ZL,33.37
2015-01-16,ZM.V.0,ZM,326.1
2015-01-16,ZR.V.0,ZR,11.355
2015-01-16,ZS.V.0,ZS,990.75
2015-01-18,CL.V.0,CL,48.43
2015-01-18,GC.V.0,GC,1279.0
2015-01-18,HG.V.0,HG,2.6185
2015-01-18,PL.V.0,PL,1265.9
2015-01-18,RB.V.0,RB,1.36
2015-01-18,SI.V.0,SI,17.81
2015-01-19,CL.V.0,CL,47.78
2015-01-19,GC.V.0,GC,1276.0
2015-01-19,HG.V.0,HG,2.5735
2015-01-19,PL.V.0,PL,1263.6
2015-01-19,RB.V.0,RB,1.3719
2015-01-19,SI.V.0,SI,17.7
2015-01-20,CL.V.0,CL,46.74
2015-01-20,GC.V.0,GC,1293.6
2015-01-20,GF.V.0,GF,202.75
2015-01-20,HE.V.0,HE,72.775
2015-01-20,HG.V.0,HG,2.5875
2015-01-20,LE.V.0,LE,153.375
2015-01-20,PL.V.0,PL,1278.6
2015-01-20,RB.V.0,RB,1.3412
2015-01-20,SI.V.0,SI,17.96
2015-01-20,ZC.V.0,ZC,390.25
2015-01-20,ZL.V.0,ZL,32.9
2015-01-20,ZM.V.0,ZM,326.5
2015-01-20,ZR.V.0,ZR,11.25
2015-01-20,ZS.V.0,ZS,982.5
2015-01-21,CL.V.0,CL,47.3
2015-01-21,GC.V.0,GC,1292.0
2015-01-21,GF.V.0,GF,205.325
2015-01-21,HE.V.0,HE,72.95
2015-01-21,HG.V.0,HG,2.6045
2015-01-21,LE.V.0,LE,153.3
2015-01-21,PL.V.0,PL,1272.4
2015-01-21,RB.V.0,RB,1.3516
2015-01-21,SI.V.0,SI,18.12
2015-01-21,ZC.V.0,ZC,387.5
2015-01-21,ZL.V.0,ZL,32.41
2015-01-21,ZM.V.0,ZM,330.3
2015-01-21,ZR.V.0,ZR,11.395
2015-01-21,ZS.V.0,ZS,983.5
2015-01-22,CL.V.0,CL,47.32
2015-01-22,GC.V.0,GC,1300.9
2015-01-22,GF.V.0,GF,205.75
2015-01-22,HE.V.0,HE,70.85
2015-01-22,HG.V.0,HG,2.5795
2015-01-22,LE.V.0,LE,153.275
2015-01-22,PL.V.0,PL,1282.8
2015-01-22,RB.V.0,RB,1.3828
2015-01-22,SI.V.0,SI,18.335
2015-01-22,ZC.V.0,ZC,383.75
2015-01-22,ZL.V.0,ZL,32.01
2015-01-22,ZM.V.0,ZM,330.2
2015-01-22,ZR.V.0,ZR,11.18
2015-01-22,ZS.V.0,ZS,977.75
2015-01-23,CL.V.0,CL,45.29
2015-01-23,GC.V.0,GC,1294.1
2015-01-23,GF.V.0,GF,201.825
2015-01-23,HE.V.0,HE,70.725
2015-01-23,HG.V.0,HG,2.495
2015-01-23,LE.V.0,LE,148.8
2015-01-23,PL.V.0,PL,1269.6
2015-01-23,RB.V.0,RB,1.3693
2015-01-23,SI.V.0,SI,18.325
2015-01-23,ZC.V.0,ZC,386.5
2015-01-23,ZL.V.0,ZL,31.62
2015-01-23,ZM.V.0,ZM,330.8
2015-01-23,ZR.V.0,ZR,11.0
2015-01-23,ZS.V.0,ZS,972.5
2015-01-25,CL.V.0,CL,44.45
2015-01-25,GC.V.0,GC,1297.0
2015-01-25,HG.V.0,HG,2.4665
2015-01-25,PL.V.0,PL,1275.9
2015-01-25,RB.V.0,RB,1.3541
2015-01-25,SI.V.0,SI,18.395
2015-01-26,CL.V.0,CL,45.17
2015-01-26,GC.V.0,GC,1279.8
2015-01-26,GF.V.0,GF,199.35
2015-01-26,HE.V.0,HE,73.2
2015-01-26,HG.V.0,HG,2.5395
2015-01-26,LE.V.0,LE,148.35
2015-01-26,PL.V.0,PL,1253.2
2015-01-26,RB.V.0,RB,1.3445
2015-01-26,SI.V.0,SI,17.94
2015-01-26,ZC.V.0,ZC,383.5
2015-01-26,ZL.V.0,ZL,31.07
2015-01-26,ZM.V.0,ZM,339.3
2015-01-26,ZR.V.0,ZR,10.885
2015-01-26,ZS.V.0,ZS,984.0
2015-01-27,CL.V.0,CL,45.47
2015-01-27,GC.V.0,GC,1293.1
2015-01-27,GF.V.0,GF,204.0
2015-01-27,HE.V.0,HE,71.25
2015-01-27,HG.V.0,HG,2.4635
2015-01-27,LE.V.0,LE,150.3
2015-01-27,PL.V.0,PL,1266.2
2015-01-27,RB.V.0,RB,1.3916
2015-01-27,SI.V.0,SI,18.07
